,SurveyID,Age,Type,Employed,FullPart,OwnCell,UsedCell,@3OwnHousePhone,@4UseFreq,BQ4a,BQ4aCont,@5UseLength,BQ5a,BQ5aCont,@6aTexting,@6bEmail,@6cInternet,@6dBank,@6eBills,@6fFacebook,@6gPics,@6hGames,@6iBuy,@7PurchOnline,BQ7a,BQ7aCont,@8CellExper,BQ8a,BQ8b,Comfort,BQ9a,Satisfaction,BQ10a,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PBI1,PBI2,PBI3,PBI4,PBIUse,PBIBuy,PGL1,PGL2,PGL3,Comments,VAR00001,Gender,PAnxiety,PBIntent,PAffect,PGL_sum,Income,Education
184,W208,65.0,3,1.0,1.0,7.0,7.0,1.0,7.0,6.0,56.0,3.0,2.0,0.75,1.0,,,,,,,,,5.0,4.0,18.0,4.0,3.0,2.0,5.0,0.0,4.0,0.0,4,5,5,4,4,4,3,4,5,4,3,4.0,4.0,8,6,5,,5,1,4.666666666666667,4.0,3.75,19,5.0,5
187,W210,65.0,1,2.0,,20.0,20.0,1.0,7.0,6.0,56.0,3.0,2.0,0.75,1.0,,1.0,,,,1.0,,,1.0,0.0,0.0,6.0,5.0,4.0,8.0,3.0,6.0,2.0,1,1,1,7,7,7,7,7,7,7,7,7.0,7.0,10,10,10,,3,0,1.0,7.0,7.0,30,5.0,4
188,W214,65.0,1,2.0,,15.0,15.0,1.0,6.0,5.0,28.0,3.0,2.0,0.75,1.0,,,,,,,,,1.0,0.0,0.0,6.0,5.0,4.0,8.0,3.0,6.0,2.0,1,1,1,7,7,6,7,7,7,7,7,7.0,7.0,10,10,10,,3,1,1.0,7.0,6.75,30,5.0,4
189,W249,65.0,1,2.0,,3.0,3.0,1.0,4.0,3.0,4.0,2.0,1.0,0.25,1.0,,,,,,,,,5.0,4.0,18.0,3.0,2.0,1.0,5.0,0.0,4.0,0.0,5,5,5,5,1,1,5,5,1,5,1,5.0,1.0,6,6,6,,2,0,5.0,3.0,3.0,18,1.0,3
190,W267,65.0,3,2.0,,5.0,5.0,1.0,7.0,6.0,56.0,4.0,3.0,1.25,1.0,1.0,1.0,,,,1.0,1.0,,2.0,1.0,3.0,4.0,3.0,2.0,6.0,1.0,5.0,1.0,1,1,1,7,7,7,7,7,3,7,3,7.0,3.0,8,8,8,,4,1,1.0,5.0,7.0,24,1.0,4
191,W271,65.0,1,2.0,,10.0,10.0,1.0,7.0,6.0,56.0,2.0,1.0,0.25,1.0,1.0,1.0,,,,1.0,,,1.0,0.0,0.0,6.0,5.0,4.0,8.0,3.0,6.0,2.0,1,1,1,7,7,7,7,7,4,7,4,7.0,4.0,10,10,10,,4,1,1.0,5.5,7.0,30,1.0,4
192,W279,65.0,1,1.0,2.0,10.0,10.0,1.0,7.0,6.0,56.0,2.0,1.0,0.25,1.0,1.0,,,,,1.0,1.0,,1.0,0.0,0.0,5.0,4.0,3.0,6.0,1.0,5.0,1.0,1,1,1,7,6,6,3,7,1,6,1,6.5,1.0,7,7,7,,4,0,1.0,3.75,5.5,21,2.0,4
193,W280,65.0,1,2.0,,10.0,10.0,1.0,7.0,6.0,56.0,3.0,2.0,0.75,1.0,1.0,1.0,,,,1.0,1.0,,1.0,0.0,0.0,4.0,3.0,2.0,6.0,1.0,4.0,0.0,1,1,1,6,7,7,7,7,3,4,1,5.5,2.0,7,7,7,,1,1,1.0,3.75,6.75,21,1.0,2
194,W290,65.0,1,2.0,,7.0,7.0,1.0,7.0,6.0,56.0,6.0,5.0,2.5,1.0,1.0,,,,,1.0,1.0,,1.0,0.0,0.0,5.0,4.0,3.0,6.0,1.0,4.0,0.0,2,2,1,5,5,4,4,5,1,5,1,5.0,1.0,6,6,6,,4,0,1.6666666666666667,3.0,4.5,18,2.0,4
195,S6,66.0,1,2.0,,10.0,10.0,1.0,5.0,4.0,12.0,3.0,2.0,0.75,1.0,,,,,,,,,1.0,0.0,0.0,5.0,4.0,3.0,8.0,3.0,3.0,-1.0,3,3,3,3,3,3,3,5,3,5,3,7.0,4.2,5,5,6,,2,1,3.0,4.0,3.0,16,1.0,3
